index,title,collection,author,solved,push_count,moves
1,Level 44,Microban,Unknown,true,1,R
2,Level 11,Microban II,Unknown,true,10,drdrruLruulDLrrddllUlURddrruLLrruulDrdL
3,Level 9,Microban II,Unknown,true,6,ulllddrRllddrrruUllluurrDullddddrrruuLrddlUdlluuuurrrD
4,Level 10,Microban II,Unknown,true,7,dllUdrruLuulldRDuurDllDurrD
5,Level 1,Microban,Unknown,true,8,dlUrrrdLullddrUluRuulDrddrruLdlUU
6,Level 2,Microban,Unknown,true,3,rddLruulDuullddR
7,Level 9,Microban,Unknown,true,10,urrDulldRdRluurDrDDlUruLdlUruL
8,Level 14,Microban,Unknown,true,10,uulllldddrrUlluurrrrddLLLdlUrrrruullDurrddlLdlluRRuullD
9,SE 647,Sven Egevad,Sven Egevad,true,9,drUUddrruuLrdLLruuulldRurDlDurD
10,LOMA06-09,Aymeric Du Peloux,David Skinner,true,14,ruuLDuruulDrdddLuruulDrddldlluuuRRlldddrruruUddlUruLuurDlddddlluRdrUU
11,LOMA10-01,Aymeric Du Peloux,David Skinner,true,12,ddRRRllluurDldRdrruuLrddrruLdllluluurDrrDulDulldRR
12,Level 1,Microban II,Unknown,true,16,dllUdrruLLUluurDDlDRdrruLdldlUUUruulDrdDldRuuulD
13,Level 2,Microban II,Unknown,true,7,rdLulldddrrUUruLdddlluuRUrD
14,SE 794,Sven Egevad,Sven Egevad,true,17,uuuRlddRUrruulLDurrddlLdlddrUUUrrdLuruullDlDDuururrdddlLruLrruLL
15,SE 797,Sven Egevad,Sven Egevad,true,17,uRRurDuRldllluRdrrRllllddrUluurRdLrrrddlUruLLullDurrdrruLLLrdL
16,SE 1171,Sven Egevad,Sven Egevad,true,15,rUULuurDldDrddlluRuuurDldddrruLdlUUUruulDrdDlddrruLdlU
17,Autogenerated 6,Autogenerated,Yoshio Murase,true,15,uluurrdrrrddLruulllulDrrrrddlLUdrruulLLulldRlddrUUddRRuuLrddlluluuRlddrUrrrrddL
18,Autogenerated 22,Autogenerated,Yoshio Murase,true,23,LLUdrruLLLulldRdRRurrdLulLdlUrrrdLuluurDldRllluRdrUdrdrruLLullddRUruLdrrdL
19,Autogenerated 29,Autogenerated,Yoshio Murase,true,14,dLLUdrruLuLLulDlddrRRRuulDulllddrrRuullDldR
20,Autogenerated 35,Autogenerated,Yoshio Murase,true,19,ldRRRULrrrdLulldlUrrrdLullluurrrDulllddrrRdrruLLuullldddrRluUddrRuLdlUrrrrdLL
21,Autogenerated 40,Autogenerated,Yoshio Murase,true,13,dllULuurDRddlUlulldRRRdrruLuLLrrddlUruL
22,LOMA04-10,Aymeric Du Peloux,Roger Delaporte,true,12,dlLrruuullldRurrdddllUUddrruuulLddddlluRdrUrruuulldDDrruuLulDlluR
23,LOMA08-09,Aymeric Du Peloux,David Skinner,true,10,luurDrDLrrddlUruLullDlddrURUrrdL
24,Claire,SokEvo,Lee J Haywood,true,7,DDrdrruuLDuLdllUdrrrrdL
25,Alice,SokEvo,Lee J Haywood,true,7,uurruurrdDuullddllUdrruurrddLdLruLLrdrdrU
26,Sophia,SokEvo,Lee J Haywood,true,9,urrddrddllluURRDuRlllddrRuuuullDurrddlDuruulldR
27,Jill Leatherby,SokEvo,Lee J Haywood,true,9,ruLulldRRdrruuLrddlluRuLdlluurDldRR
28,Andrea Wadd,SokEvo,Lee J Haywood,true,8,rddlllUdrrruullDurrddlUlldRulluuurrDDurrddlLuuulldR
29,SE 76,Sven Egevad,Sven Egevad,true,7,ddRluururrddlLrrrddllUllUruurrddLruulldDrdL
